ID_file,leg,date,class,language,surname,name,year_birth,gender,group,position,length,chunk
47914,XVI,06/11/2024,DEMANIO E PATRIMONIO REGIONALE,en,Testolin,Renzo,1968.0,M,UV,2,1412,"Councillor Guichardaz asks for information about the Maison du Val d'Aoste. On 18 October, the Government approved an agreement with the geopolitical study group Fondation Grand Continent for the organisation of the 2024-2025 editions of the Grand Continent Summit, which also includes the partial use of the Maison du Val d'Aoste. In short, part of the Maison du Val d'Aoste will host the operational core of the geopolitical study group that organises the Summit and which will help the Region to carry out activities and events of interest to the Aosta Valley in Paris, in the premises of the Maison or in other locations. We have decided to experiment with this new form of use of the structure that intends to bring the Maison du Val d'Aoste back to the original idea for which it was created in 1999, namely not an information office on the Aosta Valley, but a place where we can imagine and carry out initiatives aimed at presenting the Aosta Valley in its various historical, cultural, linguistic and economic facets in Paris - or perhaps in other places in France too -, where we can create institutional relations between the Aosta Valley, France and the French-speaking world; where we can welcome the Aosta Valley emigration, both historical and current. The final details are being defined in order to be operational before the end of 2024."
47914,XVI,06/11/2024,DEMANIO E PATRIMONIO REGIONALE,en,Guichardaz,Erika,1976.0,F,PCP,4,882,"It's interesting to feel what I'm looking for in this Consiglio ha portato avanti queste initiative, perché right under this point of view credo che, also rispetto a questa tematica, molto probabilmente ci sia sia allontanati da quello che si erathoughto nel tempo. And yet there is a certain point of view that is not included in the studio of Finaosta, it will be announced and repeated, it will be shown in some modo tracciato of this new route that has been presented to the President. Naturally, you should learn everything you need to pass if you think about a kind of experiment and use a variety of things that allow you to stay up to date. Keep track of this topic, and deepen it by resuming all the details that have been written at the end to understand that this was the road that was followed by the owner of the studio."
47915,XVI,06/11/2024,"CONSIGLIO REGIONALE, ORDINE PUBBLICO - FORZE ARMATE",en,Testolin,Renzo,1968.0,M,UV,2,866,"Councillor Lucianaz asks for the latest news regarding the mystery and the current location of Corrado Gex's body, especially the results of the analyses of these remains, four years after his body was removed from the family tomb in Arvier. First of all, I thank Councillor Lucianaz for this question, which has the merit of shedding light on an event, the 1966 plane crash in which Corrado Gex lost his life along with seven other people, which is still under investigation. On the other hand, the question provides information on the results of the examinations carried out by the University of Milan, of which the Regional Administration is not aware. We are therefore unable to answer your question, except to communicate that we will try to ask the Cuneo Public Prosecutor's Office for an update on the status of the investigations."
47915,XVI,06/11/2024,"CONSIGLIO REGIONALE, ORDINE PUBBLICO - FORZE ARMATE",en,Lucianaz,Diego,1963.0,M,RV,4,1875,"Well, so the Regional Administration, the Government have no news. As you well know, this body, what is left of this body (the coffin, if you like), was removed 4 years ago and analyses were carried out on this body, for two main reasons and that is to say: if this corpse that remains actually belongs to Corrado Gex, since there are doubts expressed by various people; secondly, it is the question of the presence of neurotoxic gas that could be at the origin of this accident. So, as the University of Milan has not been able to give answers - at least we are still waiting for answers - after 4 years, something that is extremely rare, it really does not happen often, to keep a body in an analysis laboratory for 4 years; the question is that this body is now in Finland, from what I have learned, in an institute that is deepening its studies, but I believe that a character, to leave the chronicle, such as Corrado Gex, deserves that the Aosta Valley Government and the entire Aosta Valley community take care of him, take care of the truth of what happened that day. This accident has not yet had definitive answers to this day and it is because of this that I personally and the group to which I belonged, my colleague Robert Luboz, had presented, on May 22, 2019, a motion committing the President of the Region to try to obtain all the official documents and the results on this body; and now the President, at the time Mr. Antonio Fosson, had made the commitment and, unanimously, the Council had expressed itself to know this truth. So, I ask this Government to make an effort so that the memory of Corrado Gex, as we are rapidly approaching the 60th anniversary of the accident... that it at least tries to look into the matter in more depth."
48019,XVI,21/11/2024,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Lucianaz,Diego,1963.0,M,RV,2,609,"Yes, quickly, the questions look at the situation regarding the problems of the Palafent de Brissogne area; we know that recently there was another offer for the management of the restaurant and bar, we ask if all the infrastructure works planned inside and outside the structure have been carried out and, again, to know if there are changes that are envisaged even by the Regional Administration for the future operation of the area and how we imagine involving in this subject, in this project the Fédérachon Esport de Nohtra Téra."
48019,XVI,21/11/2024,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Testolin,Renzo,1968.0,M,UV,4,3873,"First of all, I would like to thank the Councillor for giving us the opportunity to take stock of the situation on the Palafent. There is currently no situation concerning the Palafent structure that prevents its full use from a sporting point of view, moreover, on Monday 18 November the deadline for submitting bids to participate in the public auction, launched by the Fédérachon, for the management of the bar-restaurant closed, as we know, following the dispute with the managing president, expired. As for the work requested by the Fédérachon Esport de Nohtra Téra, I inform you that the following work has been carried out: energy efficiency for the entire structure for a total amount of 350,000 euros; intervention of the water meter users division; the replacement of the drain pump of the wastewater collection tanks and the remote control of its operation, on this point the Public Works Department reports that the problem concerned exclusively the caretaker's accommodation and not the toilet drains of the establishment; the overall intervention to fit out these drains, which is not essential to the use of the infrastructure, will however be scheduled soon after the analysis of the possible intervention alternatives. In addition, the real estate and sports infrastructure structure of the Public Works Department, following the identification of the new manager, will carry out a joint inspection with the Fédérachon to check the functionality of the electrical heating systems, the catering and caretaker's accommodation areas and, possibly, carry out the necessary development and restoration interventions taking into account the priority of our uses, which has lasted more than a year. Finally, the Department of Natural Resources recently entrusted our services for the adaptation of the automated irrigation system of the green space, to optimize the creation of a lawn for their sports activities, for a total of approximately 50,000 euros, work that will be completed we hope very, very soon, between the end of the year, by the end of the year. As for the third point, we therefore confirm the attention of the Regional Government to popular sports, both with regard to the Fédérachon and the sports associations that compose it, as well as with regard to the structure in question; proof of this is that during the year 2024, at the request of Fédérachon, the budgetary allocation of 95,000 euros for traditional sports was increased to 150,000 euros, the additional sum of 55,000 euros was granted as an expense account necessary for the realization of the vast activity carried out for the promotion of traditional sports in schools, given that the amount of the association had remained unchanged for several years, as well as for new activities. The FENT plans in particular to proceed, among other things, with a multilingual reprint of the brochure on traditional sports to be distributed in schools of all levels, as well as at the extra-regional level and for promotional purposes, to participate in international activities organized by the European federations, to create a short video presenting the traditional games of the Aosta Valley, highlighting their social, cultural and geographical context to be distributed on the social networks and websites of the Fédérachon, but also of the international associations of traditional sports, as well as to provide for the digitization of its documentary photographic archives. In this regard, I wanted to emphasize that a meeting is planned very soon with the President of the Fédérachon, with the competent Assessorates to establish a program of initiatives to achieve what still remains to be done."
48019,XVI,21/11/2024,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Lucianaz,Diego,1963.0,M,RV,6,557,"Thank you Mr President Testolin, today you surprise me. Well, thank you for the answer, which is quite, quite complete and even elements in addition to what I had asked, so here we can only be satisfied with the answer, we hope that the new manager of the area is someone serious at least, because this structure surely needs good management and, if everything you have just told us is going to be achieved, well, we are surely going in the right direction and we wish the popular sports of the Aosta Valley great success."
47900,XVI,06/11/2024,"ASSISTENZA SANITARIA E OSPEDALIERA, Presidio ospedaliero, EDILIZIA, Edilizia pubblica",en,Guichardaz,Erika,1976.0,F,PCP,2,9265,"This motion has been on the agenda of the Regional Council for a long time now, but it is still relevant, indeed, most likely we could have added something else in the introduction, so it is a motion that once again wants to report and draw attention to the need for updates and clarity regarding the expansion of the Parini hospital complex, a project that - we said it in 2021, when we resigned for this very reason - is of fundamental importance for the Aosta Valley community, so let's go back to 2021, because it is useful to remember all the steps. English: We recall that in 2021, during the discussion of the petition of the Vallée Santé Committee, not our resolution was voted on, despite having been voted on in the Commission, after which the five colleagues who left our group decided to follow another path, a resolution was voted on that requested, urged the activation of a working table between the Institutions, therefore between the Region, the Municipality of Aosta and the designers, with the aim of verifying the technical, economic and temporal feasibility of the project, especially in light of the new challenges that emerged with the pandemic. This resolution, we recall, committed to proceed with the variant of the executive project of the east wing of the Hospital, to simultaneously continue the design phases of the renovation of the current Hospital and complete the definition and identification of the hospital services that would also be activated taking into account the pandemic, to start a discussion on the destination of the Beauregard Hospital and the former Maternity, to present the project to the Aosta Valley population through the most appropriate tools. Since then, a small room has appeared right next to the Hospital, an Info Point, right next to the construction site, which I believe does not find much participation, I often pass in front of the Hospital and I have never seen anyone inside that small room and above all, seeing the slides that pass, if we are interested in the archaeological excavations, what is inside that video is certainly of great interest, but, if we are interested instead in what concerns the Aosta Valley health system, we find very little. English: Many initiatives have been made mainly by our group and by the Rassemblement Valdôtain group to ask that, following that hearing on April 10, there be updates, this is because I went to watch that hearing again, to take back the various passages and, apart from the fact that the planners were not present, so this alone would have deserved a hearing, but on the other hand I also went to take that hearing and to check which documents then arrived precisely following that hearing and I can say that many of the questions we asked in that hearing have not found any answer to date: an example - naturally I take the passages referred to in my speech - I asked to have an analysis on the appropriateness of the operational beds and the consequences of the articulation of the hospital structures, this is because at a certain point, during the hearing, there was talk of double radiology, so one radiology in the old Parini, one in the expansion, it was not clear, also in light of the questions asked by councilor Manfrin, what was the fate, for example, the pharmacy, so on this point we absolutely had no answers. After that we also focused on the issue of limitations related to the helipad where we know well it will be placed above the hospital, but we know equally well, with limitations, to one flight per day with respect to the possibility of landing on that structure. Then there were also questions from councilor Lucianaz to which you had not been given an answer and which perhaps he will then present. I imagine that the Councilor will tell us: ""I have already come to the hearing on April 10"", if you think that the hearing of April 10... moreover there was also a speech by Councilor Marquis, who said: ""But holding a hearing without the plans, without having an awareness of what is being done makes little sense"", so, even from a planning point of view, very probably... but this is the Councilor's field and certainly not mine, so perhaps he will also be the one to explain the reasons with respect to those steps that had taken place on April 10 and which, in essence, gave space to new hearings, this is what we seemed to have understood, or in any case also to the sending of new documentation that we requested right there. English: We must also remember that, after that hearing on April 10, thanks to the various initiatives, we learned from Councilor Marzi, on February 9, 2024 we were told that the validation of the executive project was close to completion. On July 11, 2024, so a few months later - ""close"" is perhaps subjective depending on who is speaking -, again it was said: ""No, but it is a matter of very little"". From that February 9 to October 15, eight months have passed and from 2021 to today, more than three years have passed. Furthermore, as I remembered, during the discussion of that petition it was also said: ""No, but we must continue with the project, in the meantime with the design phases of phase 4 and 5, because in this way we have an idea of ​​the overall costs for the entire hospital facility"", because, in my opinion, it is good to remember that the expansion will only be for the acute hospital, so it is not everything we need. Nothing more has been said about the fate of the Beauregard, we have not had any updates on this either, and also about the fate of the former Maternity Hospital, all things put in that petition. With this motion we therefore ask the Health Councillor again to come to the V Commission, perhaps even with all the documentation, within 15 days - because it seems to us that, given that more than 8 months have passed, even if we put a rather short time, we can do it -, to come and present us with the verification of the technical-design and economic compatibility, as well as the feasibility in adequate chronological terms of the expansion project of the Parini Hospital. This is essentially what was envisaged in the resolution and naturally to also present all the design variations and the state of the art of the works in the various hospital facilities, because the only certainty we have is that the Aosta Valley will never have a single facility, this is the only thing that the Aosta Valley health workers were asking for and it is the only thing we know we will never have. We also saw the resolution of November 4 that tells us about 178 million and here too we repeat that it is only about the expansion and the projects, therefore not about everything that is needed, therefore it would also be interesting to understand what the total costs are, if we have an idea, what the expansion costs, the demolition of the superfetations, the entire renovation of the old Parini, the construction of the maternal and child center, the relocation of the Psychiatry and so on and so forth and also when they think of finishing all this, because one of the things we had highlighted and continue to say is that we absolutely needed the Hospital and it had to be decentralized, it had to be unique, it had to be ready soon. At the moment, however, we know very little. As I was saying, we certainly know that it will not be a unique facility, but we know nothing about everything else. Maybe the Councilor knows, maybe he can tell us today, but what we want is to go back to the hearing first to provide the documentation requested on April 10th that we are still waiting for, but then to ask questions, because it is enough to go and see that hearing to understand that, having no idea of ​​what was inside that Hospital, very few questions could be asked, therefore also have an idea of ​​the beds. English: I also read - however, since it was downloaded only today, I read the resolution quickly this morning - that in essence the Municipality of Aosta was raising problems with respect to traffic and on the other hand was asking that the planned parking spaces also be used for other needs, therefore not only for those going to the hospital, but for those who also want to visit the city of Aosta, therefore also understanding with respect not only to traffic, but to the spaces that we know have also been reduced where we are going and what the priorities will be that have been set in the project, because there was talk of two parking spaces for every bed, it is normal that, if anyone can park there, those two parking spaces will most likely no longer exist. These are all questions that cannot be narrowed down in a debate on a motion and that is why we ask, for the umpteenth time, to come to the Commission to present this project and the whole vision that this majority has with respect to this work, which, as I said, is extremely necessary and which is becoming, in our opinion, the biggest flop of this majority, but this is our vision. Let's see what the Councilor will answer us and then we will also evaluate the next steps."
47900,XVI,06/11/2024,"ASSISTENZA SANITARIA E OSPEDALIERA, Presidio ospedaliero, EDILIZIA, Edilizia pubblica",en,Lucianaz,Diego,1963.0,M,RV,4,11015,"Bondzor a tcheutte. [Literal translation from the patois: Good morning everyone]. The requests of my colleague Guichardaz are sacrosanct, clarifications are being requested in the Committee. Unfortunately, this is a record that is heard too often on this subject, but with the permission of my Group Leader, taking the floor, I must nevertheless give a small explanation for what happened yesterday. Yesterday I did not respond to a colleague who called me ""that's disgusting, you should be ashamed"", etc., because I thought it was decidedly absurd, instead, seeing today the unleashing of press articles, at least to the Chamber and to those listening I owe two explanations, starting from the fact that yesterday I was commenting with a colleague of mine, certainly out loud, on the issue of the manner in which the floor was granted and I did not address absolutely any epithets to those who had the floor... but like this Padovani... (intervention by Councillor Padovani, off microphone) go ahead and be sarcastic, colleague, but I don't listen to the stupid things you say, so don't worry. For this fact I have been condemned by several press outlets, in particular the Aosta Valley agencies, sounding boards of the PD and, patience, it is not the first time that these press agencies report untrue facts, such as the constant reference to the ""great farce"" that I would have pronounced in 2022, I have never said a ""great farce"", however it continues to be reported with a quote. With my colleague, however, yesterday we cleared things up, I believe in a peaceful and reasonable way, I also told him that, if he feels offended, I apologize, I say it publicly, I was not addressing him, so I think for me that the matter can end here. If I then have to justify myself further, I have no problem supporting it. However, I believe that, chatting with a colleague, I can at least have the right to use the words I want. I repeat: with the colleague there was nothing and the epithet was not addressed to him, then everyone can consider the fact as they like. I will take the time to reread the article by Piero Minuzzo because it seems quite worrying to me. I am talking about the Hospital and I come to the motion because on December 4, 2023, in a hearing at the Municipality of Aosta, we heard several municipal councilors complain about the fact that the technicians do not give answers, they asked for certain times and precise data that were not provided on that occasion either, fortunately, the hearings of the Municipality of Aosta are public, so we can quote them, right, President? Another opposition councilor expressed in front of the engineer who was reporting: ""It is difficult to have a political debate without the presence of the other party, given that the technicians act on the mandate, I would have been very pleased to see regional politics here"", other interventions by the Renaissance group, etc., so even the Municipality of Aosta was not given the answers that are continued to be asked for in this Council. Let's move forward, in the sense that, remembering that the executive design of the Hospital of the new wing of the expansion was from 2013, I repeat: the executive design was then stopped in 2014 by the Regional Council, then the archaeological findings, etc. ... we have a statement from the engineer that the Hospital was expected to be delivered in December 2019, you all know this, even the newspapers know it. The fact is that they continue to ask for data that is not provided. This week we learn that the expansion of the Parini Hospital is planned for the modest sum of 178.5 million, so, in addition to documentation that we hope will be provided, otherwise we will try to get it in a different way, in addition to the 31-page report - and then I will take up some passages of this report -, we ask whether these 178.5 million euros are concentrated on the expansion, on the part of block K and Hospital Street alone, possibly, excavation work still to be scheduled for the archaeological aspect permitting and here I would like to know from the Councilor what he intends to do in that area that has not yet been excavated. We therefore normally ask, and we will also ask in the Commission, how much the total amount of the works for the entire Parini complex will be, including phases 4 and 5 of which we have absolutely no documentation. To return to Block K, I remember that in the Commission, that famous 10th April, several questions were asked, not all of which received an answer, I will summarize a few to refresh the Councilor's memory, that is, if on the top floor of Hospital Street, which houses a conference room, refreshment services and other things, if he means the floor below the connecting gallery between the two buildings and here no answer was given; where would the bus stop, if it narrows the roadway, indeed, the roadway will often, for the works, be narrowed to a single lane and they wondered where the bus stop was, where pedestrians crossed, if sidewalks were not planned, they are not indicated on the rendering, how will it be possible to cross Viale Ginevra at ground level and for how long will the use of the second lane of Viale Ginevra be planned. Here we did not receive any answers. Hospital Street already has separate routes in the pandemic perspective that was so much talked about during the Covid phase and the same thing for the Emergency Room, we did not get any guarantees during that hearing. You were still asking about vehicular access inside Parini, will it undergo changes during the construction of Hospital Street? We know, at least that's what the engineer told us, that Hospital Street will be built in three sections, moving the current entrance to the Hospital from time to time. It would be good to have some clearer ideas. What do we know about 118 and their headquarters which is currently located near the concierge? English: He still wondered, without receiving any answers, where the underground excavation will be carried out for the passage of the pipes, which will connect the technological center to block K, whether excavations are planned in that area for the discovery of the stone circle, as indicated by the International Scientific Commission, whether the construction of another archaeological area is planned in that area, to be clear, near the sampling center, in case, as seems evident, there is an archaeological discovery. No answer was given to this and I am talking about April, so more than six months have passed. He still wondered whether the hospital complex, depicted as designed to position itself at the top of the parameters of energy and environmental sustainability, I ask whether at the renovated Parini, therefore phases 4 and 5, a photovoltaic system is also planned there, very high-performance machines and systems, advanced sensor supervision systems, efficient envelope systems integrated with bioclimatic solutions, we have not received an answer to this as on phases 4 and 5 there is total darkness on the Government's decisions. English: Since we are talking about a new hospital, we would like to have answers on these sectors too, but they have never been provided. Then the trees, the green area around this hospital, but where do you plan it? The only green thing on the rendering is the roof of the buildings colored green, but I wonder: does this seem like a serious hospital to you? Again: from the images of the preliminary design of the old Mauriziano, that is, the building that should be renovated and made integral as it was originally... I remember that the Aosta hospital is a fascist work par excellence, in the images, those few and very rare images that we have seen, its original identity has not been provided, so will the Mauriziano be put back as it was originally or will there be superfluities? Also on this, Councilor, it would be the case, six months after that scanty 31-page report, even with several typos, as we pointed out during that hearing, that you provide us with some answers. I still have a few minutes and I'll take this opportunity to talk about the parking lots, which have been reduced by 50%, I repeat, the parking lots are, from what I understand, 4.20 meters, know that a Mercedes Compass is 4.95 meters long, a pickup 5.20 meters, I would like to see how we manage to park them in that underground parking lot and we still haven't figured out where we'll get all the other spaces. A parking lot was planned in the south-west area of ​​the current hospital, now the technology center will be built, I would really like to understand, and we've never been given an answer, where these spaces are planned to be built. I'll end with the construction site, there's little talk about the construction site and it will be the big problem if the work on this site ever starts. Here we have a series of regulations to comply with, the regulations on prevention, on compliance with safety, decree of 2008, the protection of hygiene on the construction site is fundamental and I am talking about law 300, we have the law that regulates quality public works: 109/1994, which requires control by the Administration at an inspection level, for evaluation of the projects by the contracting station. The combination of the two regulations cited requires a preventive check to prevent the company entrusted with the work from blocking the work, rightly claiming the impossibility of accessing construction site areas for supplies needed to carry out the work. The engineer told us that the area designated for parking will be used initially, but I would like to point out to you, Councillor, you should know, that there is a regulation that regulates accidents and hygiene of workers, which, to be in compliance, will have to provide the construction site with a series of prefabricated containers used as bathrooms, changing rooms, warehouses, offices, meeting room for the management of the work, canteen, which in total involves the occupation of a considerable part of the construction site area of ​​the parking that was indicated to us for the first phase of the work. Then there is the quality control during the work, where there is an obligation, in order not to be excluded from subsequent contracts, to comply with the control and differentiated storage of all the material used on the construction site. This therefore forces the company to prepare adequate areas separate from each other, where to store everything, that are perfectly indicated breakages and defects of the material, etc. There is internal circulation, interference areas, loading and unloading, an impressive thing in that hole. You want to continue to build it there, you are stubborn, it is your choice, the people of Aosta and all the people of the Aosta Valley will pay for this disservice, starting with the same bikes that cannot even be brought inside the Hospital, imagine the circulation, with trucks that have to unload, construction vehicles, material storage areas that you will have to identify in some area of ​​Aosta, etc. The criticality is enormous, at least come and report to the Commission as requested by this motion."
47900,XVI,06/11/2024,"ASSISTENZA SANITARIA E OSPEDALIERA, Presidio ospedaliero, EDILIZIA, Edilizia pubblica",en,Marzi,Carlo,1975.0,M,SA,6,7471,"Before making an analysis from genesis to apocalypse, reasoning about issues that are not the subject of the initiative, in my humble opinion, and that is why I intervene in the general discussion, it is important to give credit and respect to a motion, no. 19, which has premises and commitments. As you rightly recalled, colleague Guichardaz, it is not your fault if the motion arrives now, but it is not my fault either, so I respond today sic stantibus rebus. On Monday 4 November 2024, a date that has also brought peace in history, the Regional Council expressed a positive assessment of the variant of the executive project of the fourth lot, phase 3, of the new single regional hospital Umberto Parini. With the approval of the variant of the executive project we effectively completely close the third project phase that goes to create what in the imagination of every Val d'Aosta is in reality the new regional hospital. : The fourth lot of the third phase in fact includes the construction of bodies K, L and P, therefore respectively the helical cylinder - which I understand some people mock, but which is in fact the acute hospital, with the conservation and enhancement of archaeological finds -, Hospital Street, therefore body L, that is the new entrance to the new hospital which corresponds to the current Viale Ginevra and the extension of the underground car park, therefore body P. The approval of the variant of the executive project in the anticipated timeframe allows the issuing of the decree of the President of the Region as the building permit, which will then be followed by the start by SIV of the public tender procedure for the construction of the work for a total amount of charges and VAT of €178,515,453.96, of which €143,944,169.18 are for works and correspond, after 7-8 months, to the update of the amount of €178,515,453.96. 139,663,000, reported during the Commission last April and included in the documentation on which we actually worked hard; then I understand that someone might think that it is a level written at random, but it was not. English: The variant to the preliminary definitive design, coming to the story, which you rightly start from the spring of 2021 when a resolution was voted in this Council and, among other things, was also voted by many colleagues who are not part of this majority today, but who at the time both the majority and the minority believed and gave rise to a series of absolutely coherent actions on this issue... The variant to the preliminary definitive design to the executive design was prepared during 2023, while the variant to the executive design - and this, colleague Guichardaz, I have already told you in response to an initiative by colleague Lucianaz a short time ago - was validated by the RUP on 8 July 2024, after what you rightly recalled had been concluded, that is, the verification report by the verifiers that had arrived on 5 July 2024. Consequently, the variant to the executive design of the fourth lot of phase 3 of the new SIV was approved by the sole shareholder meeting on 15 October last. Parini Hospital. The variation to the executive project therefore confirms the coherence with respect to what was declared during the hearing in the V Council Commission of 10 April 2024, during which the main functional and performance characteristics of the building complex were illustrated, therefore the fourth lot as regards phase 3, therefore the bodies K, P and L, the construction site aspects, the summary timetable of the main milestones of the intervention, which then, as just mentioned, and I wanted to do it on purpose, have undergone some variations, but in fact we are now talking about something that was concluded on 4 November, the costs of the intervention and the timetable in progress. We are therefore closing the phase 3 process in accordance with both the Council resolution of 12 May 2021 that you referred to, which committed to proceeding with the variant of the executive project to adapt it to the protection and enhancement of archaeological finds through SIV, and with respect to what has been reported several times in this chamber regarding the theme of the new Hospital. We have therefore declined what was foreseen in the Council resolution 1180/2021, proceeding with the preparation of the variant of the definitive and executive project of the phase 3 intervention. Once the new Hospital for acute patients has been built, the activities and functions carried out in the current Parini can be transferred, thus freeing up the current Hospital and allowing the renovations of the subsequent phases to begin. It is quite clear how the new Hospital plays a central role in the overall reorganization of healthcare, as foreseen in the regional DEFR programming, in the health and social welfare plan, in resolution 1609/2022 concerning the new territorial programming and in the new company act. I understand that in the game of parts, politics says that we move randomly, without a compass, but in reality these are actions, politics and the Administration reason in actions, these actions are consequential to each other and are fully consistent with each other. All these actions will therefore progressively reorganize healthcare, the networks of social-health, social-assistance and social services, making the models for taking charge of the health and social welfare needs of citizens and our Aosta Valley community more effective. English: As of today and until the publication of the relevant tender notice, as required by the procurement code, it is not possible to disclose further material as these are confidential documents that will form an integral part of the tender documents for the works, as we have also declared, therefore the project is the one presented in the aforementioned session of the V Commission. This aspect is not a secondary aspect, which, among other things, has very important technical connotations and which, in fact, also means that some of the things that were requested could not be given. This motion, for which we therefore ask for withdrawal otherwise we will abstain, has never been votable before, but even less so today. In fact, ideological positions may remain different, different from a political and administrative point of view: this council, however, has collected a vital practice for our community and for the part of our competence we have all abhorred the inertia that brought the closure of phase 3 home in three and a half years. We are not finished yet, there will be a competition, a construction site, the next phases to analyze and conclude, but to date we have behaved with common sense, seriousness, working hard and seriously, so ad maiora and certainly up with hearts. The point of contention is that all the things that have been said in the presentation of this motion are part of a recent past: from today there is a future for which this majority hopes that everything will go in the best possible way in a world that changes, full of risks and pitfalls. Those who still want to talk about things must realize that with November 4th we have moved on to another era and another phase."
